Province Code|Province Name|Regency/Municipality Code|Regency/Municipality Name|District Code|District Name|Village Code|Village Name|Population
||||||030|SEUNABOK JAYA (EX UPT V)|163
||||011|TRUMON TIMUR|001|TITI POBEN|202
||||||002|ALUR BUJOK|133
||||||003|SEUNEUBOK PUNTHO|344
||||||004|LADANG RIMBA|1775
||||||005|JAMBO PAPEUN|222
||||||006|NACA|293
||||||007|IE JEUREUNEH|788
||||||008|PINTO RIMBA|1000
||||||009|KRUNG LUAS|1345
||||||010|JAMBO DALEM|1474
||||||011|KAPAI SEUSAK|1425
||||||012|UPT I SNB PUSAKA|644
||||||013|UPT III COT BAYU|498
||||||014|LHOK RAYA(EX.UPTIV)|197
||||020|BAKONGAN|001|UJUNG MANGKI|667
||||||002|KEUDE BAKONGAN|2892
||||||003|KAMPUNG BARU|271
||||||011|SENEUBOK ALUR BULAH|370
||||||012|UJUNG TANOH|813
||||||013|UJUNG GUNUNG CUT|92
||||||014|UJUNG PADANG|508
||||||015|KMP DRIEN|413
||||||016|BUKIT GADING|1375
||||||017|RAMBONG|564
||||||018|SEUNEBOK KERANJI|396
||||||019|UJUNG GUNONG RAYEK|307
||||||020|BEUTONG|214
||||||021|JAMBO KEUPOK|1109
||||||022|ALUR DUA MAS|922
||||021|BAKONGAN TIMUR|002|UJUNG PULO CUT|462
||||||003|UJUNG PULO RAYEUK|878
||||||004|PASI SEUBADEH|1398
||||||005|LADANG RIMBA|376
||||||006|SIMPANG|451
||||||007|SAWAH TINGKEUM|842
||||||008|SEULEUKAT|801
||||030|KLUET SELATAN|001|PASI LEMBANG|1167
||||||002|UJUNG PADANG|376
||||||003|INDRA DAMAI|1670
||||||004|SUAQ BAKONG|1391
||||||005|BARAT DAYA|545
||||||006|SIALANG|641
||||||007|KAPEH|418
||||||008|PULO IE|516
||||||009|JUA|125
||||||010|PASI MERAPAT|380
||||||011|UJUNG|168
||||||012|LUAR|242
||||||013|KEDAI KANDANG|476
||||||014|RANTAU BINUANG|694
||||||015|UJUNG PASIR|259
||||||016|GELUMBUK|1297
||||||017|KEDAI RUNDING|2094
||||031|KLUET TIMUR|001|SAPIK|2131
||||||002|DURIAN KAWAN|1373
||||||003|ALAI|634
||||||004|PAYA DAPUR|1503
||||||005|PUCUK LEMBANG|848
||||||006|LAWE BULUH DIDI|270
||||||007|LAWE SAWAH|1812
||||040|KLUET UTARA|001|KEDAI PADANG|472
||||||002|PASI KUALA BAU|1195
||||||003|SUAQ GERINGGENG|426
